year,temp
1883,16.7
1884,15.9
1885,16.2
1886,16.4
1887,16.7
1888,17.0
1889,17.1
1890,17.9
1891,17.0
1892,16.8
1893,16.3
1894,17.6
1895,17.0
1896,17.1
1897,17.2
1898,17.6
1899,16.6
1900,16.5
1901,16.0
1902,16.8
1903,16.5
1904,16.5
1905,16.9
1906,16.5
1907,16.4
1908,16.5
1909,16.6
1910,16.4
1911,16.7
1912,16.5
1913,16.4
1914,17.4
1915,17.0
1916,17.4
1917,15.5
1918,16.1
1919,16.5
1920,17.1
1921,16.3
1922,16.9
1923,16.8
1924,16.1
1925,16.2
1926,16.2
1927,16.5
1928,17.1
1929,16.6
1930,17.3
1931,17.2
1932,16.3
1933,16.8
1934,16.5
1935,16.9
1936,16.3
1937,17.4
1938,16.7
1939,16.6
1940,16.7
1941,17.2
1942,17.0
1943,16.5
1944,16.5
1945,16.5
1946,17.2
1947,16.1
1948,17.7
1949,16.7
1950,17.1
1951,16.8
1952,17.3
1953,17.3
1954,17.6
1955,17.2
1956,16.9
1957,16.8
1958,17.5
1959,17.8
1960,17.6
1961,17.8
1962,16.8
1963,16.9
1964,18.0
1965,16.7
1966,17.4
1967,17.4
1968,16.9
1969,17.4
1970,17.1
1971,17.3
1972,17.5
1973,17.3
1974,17.5
1975,17.7
1976,17.2
1977,17.9
1978,17.9
1979,17.9
1980,17.4
1981,17.4
1982,17.8
1983,17.8
1984,17.6
1985,18.1
1986,17.5
1987,18.2
1988,17.8
1989,18.4
1990,18.8
1991,18.4
1992,18.1
1993,17.7
1994,18.7
1995,17.8
1996,18.3
1997,18.7
1998,19.8
1999,18.8
2000,18.8
2001,18.9
2002,18.8
2003,18.9
2004,19.2
2005,18.5
2006,19.2
2007,19.3
2008,18.7
2009,19.0
2010,18.9
2011,18.4
2012,18.2
2013,18.9
2014,18.5
2015,18.8
2016,19.6
2017,18.6
2018,19.0
2019,19.4
2020,19.2
2021,19.3
2022,19.3
2023,19.5
2024,20.4
