year,temp
1889,6.2
1890,8.4
1891,7.1
1892,6.6
1893,6.2
1894,7.3
1895,6.4
1896,6.9
1897,5.9
1898,6.3
1899,7.0
1900,6.4
1901,6.9
1902,6.5
1903,7.0
1904,7.2
1905,6.7
1906,6.3
1907,6.6
1908,5.8
1909,6.4
1910,6.6
1911,7.3
1912,6.3
1913,5.7
1914,7.7
1915,7.1
1916,7.6
1917,7.1
1918,7.3
1919,7.3
1920,7.9
1921,7.2
1922,7.2
1923,7.1
1924,7.2
1925,7.5
1926,6.7
1927,7.4
1928,7.8
1929,7.0
1930,7.5
1931,6.4
1932,7.8
1933,7.2
1934,7.1
1935,7.4
1936,7.4
1937,7.2
1938,7.6
1939,7.5
1940,7.6
1941,7.1
1942,7.1
1943,7.9
1944,7.2
1945,6.5
1946,8.2
1947,7.1
1948,9.0
1949,8.2
1950,8.4
1951,7.8
1952,7.1
1953,7.1
1954,7.5
1955,8.2
1956,7.7
1957,7.9
1958,8.2
1959,8.5
1960,7.9
1961,8.6
1962,8.3
1963,8.5
1964,7.7
1965,7.9
1966,7.9
1967,8.0
1968,8.6
1969,7.2
1970,8.2
1971,7.6
1972,8.5
1973,8.4
1974,7.9
1975,8.3
1976,7.9
1977,7.8
1978,8.2
1979,8.4
1980,7.9
1981,7.8
1982,8.9
1983,8.3
1984,8.1
1985,8.3
1986,7.7
1987,8.2
1988,8.2
1989,9.4
1990,10.1
1991,9.5
1992,8.8
1993,8.7
1994,9.5
1995,9.2
1996,8.3
1997,9.1
1998,8.8
1999,9.4
2000,9.0
2001,8.3
2002,9.1
2003,8.8
2004,9.7
2005,8.9
2006,9.1
2007,9.4
2008,9.5
2009,9.4
2010,9.8
2011,9.3
2012,9.3
2013,9.2
2014,9.3
2015,10.0
2016,9.3
2017,9.1
2018,9.5
2019,9.8
2020,10.0
2021,10.2
2022,10.2
2023,11.0
2024,10.5
