score,gender
80,F
92,M
81,M
65,M
95,M
85,M
85,M
90,M
73,F
91,F
87,F
90,F
87,M
87,M
84,F
90,F
91,F
76,F
67,M
61,F
75,F
97,F
86,F
87,M
91,F
92,F
65,M
80,F
94,F
73,M
78,F
92,M
83,M
90,F
78,F
84,M
86,M
75,M
87,F
69,M
86,F
89,M
76,F
86,F
86,M
78,F
82,M
66,F
70,M
80,F
81,M
81,M
74,F
71,M
59,M
89,M
61,F
58,F
96,M
76,M
58,M
83,M
85,F
81,M
53,F
67,M
78,F
75,F
80,M
59,M
88,M
82,F
60,M
87,M
77,M
90,F
74,M
78,F
84,M
88,F
93,F
89,F
82,M
88,F
83,F
71,M
59,F
80,M
79,M
86,F
81,F
83,M
85,M
64,F
84,M
86,M
90,M
82,F
81,F
72,M
64,F
88,F
