year/month,power
2015/4,4078
2015/5,3466
2015/6,3662
2015/7,4729
2015/8,4957
2015/9,3953
2015/10,3296
2015/11,3777
2015/12,3903
2016/1,4450
2016/2,4268
2016/3,4191
2016/4,3788
2016/5,4018
2016/6,4158
2016/7,4838
2016/8,5332
2016/9,4857
2016/10,4183
2016/11,4768
2016/12,4520
2017/1,4899
2017/2,4957
2017/3,4535
2017/4,4090
2017/5,3883
2017/6,4102
2017/7,5047
2017/8,5383
2017/9,4385
2017/10,4058
2017/11,4263
2017/12,4566
2018/1,5124
2018/2,5266
2018/3,4521
2018/4,3638
2018/5,3971
2018/6,4727
2018/7,5653
2018/8,5614
2018/9,4766
2018/10,4123
2018/11,3824
2018/12,4702
2019/1,4918
2019/2,4868
2019/3,4303
2019/4,4313
2019/5,4229
2019/6,4186
2019/7,5340
2019/8,5543
2019/9,5390
2019/10,4219
2019/11,4291
2019/12,4482
2020/1,5042
2020/2,4852
2020/3,4162
2020/4,4055
2020/5,3335
2020/6,4345
2020/7,4497
2020/8,5604
2020/9,5570
2020/10,3661
2020/11,3943
2020/12,4722
2021/1,5094
2021/2,4862
2021/3,4337
2021/4,3525
2021/5,3737
2021/6,4152
2021/7,5407
2021/8,5665
2021/9,4265
2021/10,4121
2021/11,4130
2021/12,4621
2022/1,5374
2022/2,5278
2022/3,4534
2022/4,4161
2022/5,3821
2022/6,5487
2022/7,5546
2022/8,5930
2022/9,4884
2022/10,4174
2022/11,3692
2022/12,4685
2023/1,5137
2023/2,5179
2023/3,3814
2023/4,3393
2023/5,3805
2023/6,4658
2023/7,5525
2023/8,5475
2023/9,5238
2023/10,3730
2023/11,3791
2023/12,4335
2024/1,4675
2024/2,4990
2024/3,4789
